

이 이미지에는 다음과 같은 정보가 포함되어 있습니다:

- 제품명: 백설 대왕 납작당면
- 내용량: 300g
- 제조사: SISHUI LIFENG FOOD PRODUCTS CO., LTD
- 수입업체: 씨제이제일제당(주)/서울특별시 중구 동호로 330
- 소비기한: 후면 하단 표기일까지
- 보관법: 실온에 보관하세요.
- 원산지: 중국
- 반품 및 교환처: 전국 판매점 및 대리점
- 주의사항:
  - 삽은 당면을 찬물에 행글 때 직접 손을 대면 화상의 위험이 있으니 가급적 바닥에서 행글하세요.
  - 삽은 당면은 변질될 우려가 있으니 가급적 바닥에서 행글하세요.
  - 개봉 후 가급적 한 번에 드시고, 장기간 보관할 때는 벌레가 들어갈 수 있으니 밀봉 보관해주세요.
  - 이 제품은 알류우, 유, 대두, 밀, 쇠고기, 메밀, 땅콩, 고등어, 게, 새우, 복숭아, 토마토, 호두, 닭고
  - 유, 대두, 밀, 쇠고기, 메밀, 땅콩, 고등어, 게, 새우, 복숭아, 토마토, 호두, 닭고
  - 유, 대두, 밀, 쇠고기, 메밀, 땅콩, 고등어, 게, 새우, 복숭아, 토마토, 호두, 닭고
  - 유, 대두, 밀, 쇠고기, 메밀, 땅콩, 고등어, 게, 새우, 복숭아, 토마토, 호두, 닭고
  - 유, 대두, 밀, 쇠고기, 메밀, 땅콩, 고등어, 게, 새우, 복숭아, 토마토, 호두, 닭고
  - 유, 대두, 밀, 쇠고기, 메밀, 땅콩, 고등어, 게, 새우, 복숭아, 토마토, 호두, 닭고
  - 유, 대두, 밀, 쇠고기, 메밀, 땅콩, 고등어, 게, 새우, 복숭아, 토마토, 호두, 닭고
  - 유, 대두, 밀, 쇠고기, 메밀, 땅콩, 고등어, 게, 새우, 복숭아, 토마토, 호두, 닭고
  - 유, 대두, 밀, 쇠고기, 메밀, 땅콩, 고등어, 게, 새우, 복숭아, 토마토, 호두, 닭고
  - 유, 대두, 밀, 쇠고기, 메밀, 땅콩, 고등어, 게, 새우, 복숭아, 토마토, 호두, 닭고
  - 유, 대두, 밀, 쇠고기, 메밀, 땅콩, 고등어, 게, 새우, 복숭아, 토마토, 호두, 닭고
  - 유, 대두, 밀, 쇠고기, 메밀, 땅콩, 고등어, 게, 새우, 복숭아, 토마토, 호두, 닭고
  - 유, 대두, 밀, 쇠고기, 메밀, 땅콩, 고등어, 게, 새우, 복숭아, 토마토, 호두, 닭고
  - 유, 대두, 밀, 쇠고기, 메밀, 땅콩, 고등어, 게, 새우, 복숭아, 토마토, 호두, 닭고
  - 유, 대두, 밀, 쇠고기, 메밀, 땅콩, 고등어, 게, 새우, 복숭아, 토마토, 호두, 닭고
  - 유, 대두, 밀, 쇠고기, 메밀, 땅콩, 고등어, 게, 새우, 복숭아, 토마토, 호두, 닭고
  - 유, 대두, 밀, 쇠고기, 메밀, 땅콩, 고등어, 게, 새우, 복숭아, 토마토, 호두, 닭고
  - 유, 대두, 밀, 쇠고기, 메밀, 땅콩, 고등어, 게, 새우, 복숭아, 토마토, 호두, 닭고
  - 유, 대두, 밀, 쇠고기, 메밀, 땅콩, 고등어, 게, 새우, 복숭아, 토마토, 호두, 닭고
  - 유, 대두, 밀, 쇠고기, 메밀, 땅콩, 고등어, 게, 새우, 복숭아, 토마토, 호두, 닭고
  - 유, 대두, 밀, 쇠고기, 메밀, 땅콩, 고등어, 게, 새우, 복숭아, 토마토, 호두, 닭고
  - 유, 대두, 밀, 쇠고기, 메밀, 땅콩, 고등어, 게, 새우, 복숭아, 토마토, 호두, 닭고
  - 유, 대두, 밀, 쇠고기, 메밀, 땅콩, 고등어, 게, 새우, 복숭아, 토마토, 호두, 닭고
  - 유, 대두, 밀, 쇠고기, 메밀, 땅콩, 고등어, 게, 새우, 복숭아, 토마토, 호두, 닭고
  - 유, 대두, 밀, 쇠고기, 메밀, 땅콩, 고등어, 게, 새우, 복숭아, 토마토, 호두, 닭고
  - 유, 대두, 밀, 쇠고기, 메밀, 땅콩, 고등어, 게, 새우, 복숭아, 토마토, 호두, 닭고
  - 유, 대두, 밀, 쇠고기, 메밀, 땅콩, 고등어, 게, 새우, 복숭아, 토마토, 호두, 닭고
  - 유, 대두, 밀, 쇠고기, 메밀, 땅콩, 고등어, 게, 새우, 복숭아, 토마토, 호두, 닭고
  - 유, 대두, 밀, 쇠고기, 메밀, 땅콩, 고등어, 게, 새우, 복숭아, 토마토, 호두, 닭고
  - 유, 대두, 밀, 쇠고기, 메밀, 땅콩, 고등어, 게, 새우, 복숭아, 토마토, 호두, 닭고
  - 유, 대두, 밀, 쇠고기, 메밀, 땅콩, 고등어, 게, 새우, 복숭아, 토마토, 호두, 닭고
  - 유, 대두, 밀, 쇠고기, 메밀, 땅콩, 고등어, 게, 새우, 복숭아, 토마토, 호두, 닭고
  - 유, 대두, 밀, 쇠고기, 메밀, 땅콩, 고등어, 게, 새우, 복숭아, 토마토, 호두, 닭고
  - 유, 대두, 밀, 쇠고기, 메밀, 땅콩, 고등어, 게, 새우, 복숭아, 토마토, 호두, 닭고
  - 유, 대두, 밀, 쇠고기, 메밀, 땅콩, 고등어, 게, 새우, 복숭아, 토마토, 호두, 닭고
  - 유, 대두, �
